Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,Metacritic
"Sony PlayStation 5","Games","Owned","Plague Tale: Requiem","United States of America","Official","Focus Home Interactive","Asobo Studio","Adventure, Stealth","Oct 14, 2023","CIB","20.99","22.25","32.49","22.25","-1.0",?,?,?,"","","82",
"Sony PlayStation 5","Games","Owned","Afterimage [Deluxe Edition]","United States of America","Official","Modus Games","Aurogon Shanghai","Action, Adventure, Platformer","Jul 4, 2023","CIB","19.2","20.72","30.86","20.72","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Aragami 2","United States of America","Official","Merge Games","Lince Works","Action, Adventure, Stealth","Jul 4, 2023","CIB","15.24","21.97","28.5","21.97","-1.0",?,?,?,"","","64",
"Sony PlayStation 5","Games","Owned","Assassin's Creed Valhalla","United States of America","Official","Ubisoft","Ubisoft Montreal","Action, Adventure, RPG","Jul 4, 2023","CIB","11.61","11.68","18.07","11.68","-1.0",?,?,?,"","","84",
"Sony PlayStation 5","Games","Owned","Astria Ascending","United States of America","Official","Maximum Games","Artisan Studios","RPG","Jul 4, 2023","CIB","13.46","17.48","20.45","17.48","-1.0",?,?,?,"","","63",
"Sony PlayStation 5","Games","Owned","Astro Bot","United States of America","Official","Sony Interactive Entertainment","Missing Field","Platformer","Dec 11, 2024","CIB","33.15","35.64","47.96","35.64","-1.0",?,?,?,"","","94",
"Sony PlayStation 5","Games","Owned","Atelier Resleriana: The Red Alchemist and the White Guardian","United States of America","Official","Koei Tecmo","Gust, Team Ninja","RPG","Dec 11, 2025","CIB","40.04","57.95","55.49","57.95","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Atelier Ryza 3: Alchemist of the End & the Secret Key","United States of America","Official","Koei Tecmo","Gust","RPG","Oct 14, 2023","CIB","40.49","49.82","44.95","49.82","-1.0",?,?,?,"","","81",
"Sony PlayStation 5","Games","Owned","Balan Wonderworld","United States of America","Official","Square Enix","Balan Company","Action, Adventure","Aug 21, 2023","CIB","8.77","11.49","11.34","11.49","-1.0",?,?,?,"","","51",
"Sony PlayStation 5","Games","Owned","Beyond A Steel Sky [Beyond a Steel Book Edition]","United Kingdom","Official","Microids","Revolution Software Ltd.","Adventure","Jul 4, 2023","CIB","19.46","21.87","31.02","21.87","-1.0",?,?,?,"","","75",
"Sony PlayStation 5","Games","Owned","Black Myth: Wukong","United States of America","Official","Game Science","Game Science","Action, RPG","Nov 26, 2025","CIB","41.64","48.5","55.66","48.5","-1.0",?,?,?,"","","76",
"Sony PlayStation 5","Games","Owned","BLEACH: Rebirth of Souls","United States of America","Official","Bandai Namco Entertainment","Tamsoft Corporation","Fighting","Nov 9, 2025","CIB","30.5","33.97","33.75","33.97","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Clair Obscur: Expedition 33 [Lumiere Edition]","United States of America","Official","Kepler Interactive","Sandfall Interactive","RPG","Nov 26, 2025","CIB","94.39","125.5","163.5","125.5","-1.0",?,?,?,"","","92",
"Sony PlayStation 5","Games","Owned","Crisis Core: Final Fantasy VII Reunion","United States of America","Official","Square Enix","Square Enix","Action, RPG","Jul 4, 2023","CIB","17.92","19.48","28.49","19.48","-1.0",?,?,?,"","","78",
"Sony PlayStation 5","Games","Owned","Cult of the Lamb [Deluxe Edition]","United States of America","Official","Devolver Digital","Massive Monster","Action, Adventure, Strategy","Jul 4, 2023","CIB","50.83","60.49","73.87","60.49","-1.0",?,?,?,"","","86",
"Sony PlayStation 5","Games","Owned","Curved Space","United States of America","Official","Maximum Games","Only By Midnight","Action, Shoot 'em up","Jul 4, 2023","CIB","9.97","12.47","18.44","12.47","-1.0",?,?,?,"","","59",
"Sony PlayStation 5","Games","Owned","Death end re;Quest Code Z","United States of America","Official","Idea Factory International","Compile Heart","RPG","Aug 22, 2025","CIB","26.83","35.45","40","35.45","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Death Stranding: Director's Cut","United States of America","Official","Sony Interactive Entertainment","Kojima Productions (Konami)","Action, RPG, Life Sim","Jul 4, 2023","CIB","27.49","31.12","37.83","31.12","-1.0",?,?,?,"","","85",
"Sony PlayStation 5","Games","Owned","Deathloop","United States of America","Official","Bethesda Softworks","Arkane Studios SA","Action, First-person shooter, Stealth","Jul 4, 2023","CIB","8.27","8.97","14.34","8.97","-1.0",?,?,?,"","","88",
"Sony PlayStation 5","Games","Owned","Demon's Souls","United States of America","Official","Sony Interactive Entertainment","Bluepoint Games","Action, RPG","Jul 4, 2023","CIB","23.98","25.14","30.5","25.14","-1.0",?,?,?,"","","92",
"Sony PlayStation 5","Games","Owned","Devil May Cry 5: Special Edition","United States of America","Official","Capcom","Capcom, Capcom Production Studio 1","Action, Adventure","Jul 4, 2023","CIB","20.48","21.99","25.49","21.99","-1.0",?,?,?,"","","89",
"Sony PlayStation 5","Games","Owned","Digimon Story: Time Stranger","United States of America","Official","Bandai Namco Entertainment","Media Vision","RPG","Dec 11, 2025","CIB","51.15","53.89","64.95","53.89","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Disciples: Liberation [Deluxe Edition]","United States of America","Official","Kalypso Media","Frima Studios","RPG, Strategy","Jul 4, 2023","CIB","12.5","13.29","18.68","13.29","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Doki Doki Literature Club Plus!","United States of America","Official","Team Salvato","Team Salvato","Horror, Visual Novel","Jul 4, 2023","CIB","20","28.91","47.34","28.91","-1.0",?,?,?,"","","80",
"Sony PlayStation 5","Games","Owned","DOLMEN","United States of America","Official","KOCH Media","Massive Work Studio","Action, Adventure, RPG","Jul 4, 2023","CIB","11.86","14.4","18.5","14.4","-1.0",?,?,?,"","","60",
"Sony PlayStation 5","Games","Owned","Dragon Ball: Sparking! ZERO","United States of America","Official","Bandai Namco Entertainment","Spike Chunsoft Co., Ltd.","Action, Fighting","Oct 19, 2024","CIB","24.62","25.45","35.22","25.45","-1.0",?,?,?,"","","81",
"Sony PlayStation 5","Games","Owned","Dragon Ball: Xenoverse 2","United States of America","Official","Bandai Namco Entertainment","Dimps Corporation","Action, RPG","Aug 22, 2025","CIB","12.9","15.47","20.47","15.47","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Dragon Quest III HD-2D Remake","United States of America","Official","Square Enix","Square Enix","RPG","Aug 22, 2025","CIB","23.63","24.99","30.5","24.99","-1.0",?,?,?,"","","84",
"Sony PlayStation 5","Games","Owned","Dragonball Z Kakarot [Daima Edition]","United States of America","Official","Bandai Namco Entertainment","CyberConnect2 Co., Ltd.","Fighting","Nov 26, 2025","CIB","23.97","27.49","39","27.49","-1.0",?,?,?,"","","76",
"Sony PlayStation 5","Games","Owned","Edge of Eternity","United States of America","Official","GS2 Games, Plug in Digital","Midgar Studio","RPG","Jul 4, 2023","CIB","15.21","19.48","22.49","19.48","-1.0",?,?,?,"","","60",
"Sony PlayStation 5","Games","Owned","Elden Ring","United States of America","Official","Bandai Namco Entertainment","FromSoftware, Inc.","Action, Adventure, RPG","Jul 4, 2023","CIB","22.49","23.75","30.47","23.75","-1.0",?,?,?,"","","96",
"Sony PlayStation 5","Games","Owned","Elden Ring Nightreign [Amazon Deluxe Edition]","United States of America","Official","Bandai Namco Entertainment","FromSoftware, Inc.","Action, RPG","Nov 9, 2025","CIB","27.49","35.49","33.63","35.49","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Eternights","United States of America","Official","Maximum Games","Studio Sai","Action, Adventure, RPG","Nov 17, 2023","CIB","13.5","15.45","23.74","15.45","-1.0",?,?,?,"","","68",
"Sony PlayStation 5","Games","Owned","Eternights","United States of America","Official","Maximum Games","Studio Sai","Action, Adventure, RPG","Nov 17, 2023","CIB","13.5","15.45","23.74","15.45","-1.0",?,?,?,"","","68",
"Sony PlayStation 5","Games","Owned","Ever Forward","United States of America","Official","PM Studios","Pathea Games","Adventure, Puzzle","Jul 4, 2023","CIB","10.49","14.15","14.55","14.15","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Evergate","United States of America","Official","PQube","Missing Field","Adventure, Platformer","Jul 4, 2023","CIB","11.49","14.33","18.55","14.33","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Fantasian Neo Dimension","United States of America","Official","Square Enix","Mistwalker","RPG","Dec 15, 2025","CIB","29.98","31.84","33.43","31.84","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Far Cry 6","United States of America","Official","Ubisoft Entertainment","Ubisoft","First-person shooter","Jul 4, 2023","CIB","10.52","14.49","15.5","14.49","-1.0",?,?,?,"","","73",
"Sony PlayStation 5","Games","Owned","Final Fantasy Tactics: The Ivalice Chronicles [Amazon]","United States of America","Official","Square Enix","Square Enix","RPG, Strategy","Oct 13, 2025","CIB","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Final Fantasy VII Remake Intergrade","United States of America","Official","Square Enix","Square Enix","Action, RPG","Jul 4, 2023","CIB","23.49","25","31.95","25","-1.0",?,?,?,"","","89",
"Sony PlayStation 5","Games","Owned","Final Fantasy XVI [Deluxe Edition]","United States of America","Official","Square Enix","Square Enix","Action, Adventure, RPG","Jul 4, 2023","CIB+","48.73","60.45","80.45","60.45","-1.0",?,?,?,"","","87",
"Sony PlayStation 5","Games","Owned","FORECLOSED","United States of America","Official","Merge Games","Antab Studio","Action, Adventure, First-person shooter","Jul 4, 2023","CIB","12.39","12.7","15.19","12.7","-1.0",?,?,?,"","","60",
"Sony PlayStation 5","Games","Owned","Forspoken","United States of America","Official","Square Enix","Missing Field","Action, RPG","Jul 4, 2023","CIB","11.39","13.01","16.5","13.01","-1.0",?,?,?,"","","64",
"Sony PlayStation 5","Games","Owned","Ghost of Tsushima: Director's Cut","United States of America","Official","Sony Interactive Entertainment","Sucker Punch","Action, Adventure","Aug 22, 2025","CIB","30.49","30.85","40.49","30.85","-1.0",?,?,?,"","","87",
"Sony PlayStation 5","Games","Owned","Ghost of Yōtei","United States of America","Official","Sony Interactive Entertainment, PlayStation Studios","Sucker Punch","Action, Adventure","Oct 13, 2025","CIB","50.49","51","54.8","51","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Ghostwire: Tokyo","United States of America","Official","Bethesda Softworks","Tango gameworks","Action, Adventure, Horror","Jul 4, 2023","CIB","15.12","17.98","21.07","17.98","-1.0",?,?,?,"","","75",
"Sony PlayStation 5","Games","Owned","God of War: Ragnarök [Launch Edition]","United States of America","Official","Sony Interactive Entertainment America","Sony Santa Monica Studio","Action, Adventure","Jul 4, 2023","CIB","23.24","26.34","34.42","26.34","-1.0",?,?,?,"","","94",
"Sony PlayStation 5","Games","Owned","Godfall","United States of America","Official","Gearbox Software LLC","Counterplay Games Inc.","Action, RPG","Jul 4, 2023","CIB","6.57","7.05","9.99","7.05","-1.0",?,?,?,"","","61",
"Sony PlayStation 5","Games","Owned","Gran Turismo 7","United States of America","Official","Sony Interactive Entertainment","Polyphony Digital Inc.","Racing","Dec 17, 2023","CIB","29.49","32.99","37.63","32.99","-1.0",?,?,?,"","","87",
"Sony PlayStation 5","Games","Owned","Greak: Memories of Azur","United States of America","Official","Team17 Software Limited","Navegante Entertainment","Platformer","Jul 4, 2023","CIB","12.36","15.49","20.89","15.49","-1.0",?,?,?,"","","74",
"Sony PlayStation 5","Games","Owned","Guilty Gear -Strive-","United States of America","Official","Bandai Namco Entertainment","ARC System Works","Fighting","Oct 20, 2024","CIB","35.5","48.04","59","48.04","-1.0",?,?,?,"","","87",
"Sony PlayStation 5","Games","Owned","Hades","United States of America","Official","Supergiant Games","Supergiant Games","Action, RPG","Jul 4, 2023","CIB","15.49","19.77","25.47","19.77","-1.0",?,?,?,"","","93",
"Sony PlayStation 5","Games","Owned","Horizon Forbidden West","United States of America","Official","Sony Interactive Entertainment","Guerrilla Games","Action, Adventure","Jul 4, 2023","CIB","20.48","24.55","25.5","24.55","-1.0",?,?,?,"","","88",
"Sony PlayStation 5","Games","Owned","Horizon Zero Dawn: Remastered","United States of America","Official","Sony Interactive Entertainment","Guerrilla Games","Action, RPG","Nov 9, 2025","CIB","22.75","25.98","29.5","25.98","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Hunter x Hunter: Nen x Impact","World","Digital","bushiroad","Missing Field","Fighting","Nov 26, 2025","CIB","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Immortals Fenyx Rising","United States of America","Official","Ubisoft","Ubisoft","Action, Adventure","Jul 4, 2023","CIB","8.99","10.82","10.5","10.82","-1.0",?,?,?,"","","77",
"Sony PlayStation 5","Games","Owned","In Sound Mind [Deluxe Edition]","United States of America","Official","Modus Games","Maximum Games","Puzzle, Horror","Jul 4, 2023","CIB","15.37","15.71","20.09","15.71","-1.0",?,?,?,"","","70",
"Sony PlayStation 5","Games","Owned","Judgment","United States of America","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure","Jul 4, 2023","CIB","19.97","22.99","25.45","22.99","-1.0",?,?,?,"","","83",
"Sony PlayStation 5","Games","Owned","KEMCO RPG Selection Vol. 1","United States of America","Official","Kemco, Soft Source Pte Ltd","EXE Create","RPG","Jan 3, 2026","CIB","18","21.81","37.82","21.81","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","KEMCO RPG Selection Vol. 2","United States of America","Official","Soft Source Pte Ltd","EXE Create","RPG","Jan 3, 2026","CIB","?","?","40.5","?","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Kena: Bridge of Spirits: Deluxe Edition","United States of America","Official","Maximum Games","Emberlab","Action, Adventure","Jul 4, 2023","CIB","18","19.37","26.5","19.37","-1.0",?,?,?,"","","81",
"Sony PlayStation 5","Games","Owned","Kingdom Come: Deliverance II","United States of America","Official","Deep Silver","Warhorse Studios","Action, RPG","Aug 22, 2025","CIB","34.47","35.42","45.48","35.42","-1.0",?,?,?,"","","88",
